SIEC Code,Country Code,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,Country,SIEC
TOTAL,BE,33776.476,36321.213,36864.022,36633.804,36929.181,36375.426,34807.589,37143.425,35969.728,35796.679,38602.64,35370.964,37568.454,35882.92,37124.237,37450.922,38044.859,Belgium,Total
TOTAL,BG,10423.765,10775.932,10869.522,10902.561,10617.059,10524.945,9999.559,9731.09,10267.173,10345.605,9915.205,9680.663,11033.575,11312.093,11469.197,11028.221,10583.932,Bulgaria,Total
TOTAL,CY,1651.017,1960.236,1928.55,1893.613,1798.011,1695.683,1642.966,1640.873,1786.267,1945.246,1955.62,1968.086,1996.449,1957.485,1896.126,1859.844,1863.522,Cyprus,Total
TOTAL,CZ,26050.163,26871.963,26947.5,27146.892,26471.033,25803.247,25159.841,25900.973,26079.681,26198.322,27019.873,26212.333,27287.018,27369.892,27864.304,27635.173,27896.874,Czechia,Total
TOTAL,DE,207374.245,222316.125,223213.272,226355.917,224404.349,220548.061,216471.435,227926.738,222561.309,218311.006,229688.743,214755.652,228848.346,219893.405,232262.408,226558.787,229493.586,Germany,Total
TOTAL,DK,14297.35,15402.225,15732.737,15686.414,15641.586,15202.463,14718.331,15250.655,15418.052,15895.387,16766.623,15936.644,16617.705,16765.896,16724.556,16493.082,16393.897,Denmark,Total
TOTAL,EE,3015.966,3172.96,3293.224,3248.988,3183.509,3073.399,3134.471,3203.849,3199.383,3094.202,3168.565,2998.182,3338.931,3397.957,3154.272,3133.686,3106.836,Estonia,Total
TOTAL,EL,15659.643,16496.111,16951.362,17171.645,17681.264,17516.421,16400.497,16159.441,17877.608,19667.402,19735.036,21308.042,22118.064,22767.261,22309.289,21751.029,21247.079,Greece,Total
TOTAL,ES,77561.754,90113.664,90316.945,88132.171,85669.504,83825.313,82710.177,83804.247,86342.899,89856.6,92495.666,90892.71,97923.035,101319.253,98627.321,101001.861,97716.434,Spain,Total
TOTAL,FI,24509.718,26589.661,26951.794,26448.727,26313.906,25269.234,25631.316,25750.109,26260.329,26039.122,27314.256,24820.683,26683.778,27502.946,27462.935,26031.538,27026.473,Finland,Total
TOTAL,FR,138692.328,153927.273,155034.303,156733.111,157423.096,155005.684,151795.95,162842.943,159898.851,155316.273,160509.893,155437.207,161258.291,157640.12,161420.317,163814.525,164480.157,France,Total
